brand,name,old_price,old_price_cent,new_price,new_price_cent,reviews_rating_number,reviews_amount
OLYMPIKUS,Tênis Olympikus Marez Masculino Esportivo Corrida Macio Leve,349,99,33,93,,
OLLIE,Tênis Masculino Casual Ollie Street Plazza Original Azul,160,48,144,,,
NEW BALANCE,Tenis New Balance 373v2 Masculino Camurça Casual Original,499,99,50,,,
MIZUNO,Tênis Mizuno Space 4 - Masculino Original,350,90,329,,,
FILA,Tênis Para Corrida Masculino Performance Fila Float Elite ,749,90,449,94,,
PUMA,Tênis Puma Caven 2.0 Bdp Puma Tênis Puma Caven 2.0 Bdp,449,90,44,99,,
PUMA,Tênis Disc Blaze Og Puma Tênis Disc Blaze Og,799,90,79,99,,
PUMA,Tênis De Corrida Puma Flyer Runner Mesh Bdp Original,329,90,245,12,,
PUMA,Tênis Neo Cat Scuderia Ferrari Puma Tênis Neo Cat Scuderia F,549,90,436,40,,
FILA,Tênis Fila Ride Masculino Original ,329,99,227,43,5.0,(2)
EVOLTENN,Kit 3 Pares Jaguar Evoltenn Masculino Leve Promoção,189,90,170,91,4.6,(670)
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,169,90,152,91,4.6,(1561)
OLYMPIKUS,Tênis Olympikus Chroma Masculino Preto Academia Caminhada,251,24,188,10,,
LORENZZO LOPEZ,Tênis Masculino Jogger Casual Sapatenis Para Homem Moderno,139,90,34,98,,
VIA LIVRE,Sapatilha Neoprene Ténis Hibrido Masculino Kaiak Jet-ski,78,90,26,30,,
OLYMPIKUS,Tênis Olympikus Masculino Cyber 4 Confortável Macio Leve ,269,99,194,58,,
LORENZZO LOPEZ,Tenis Masculino Caminha E Academia Super Leve Na Promoção,39,90,35,91,4.8,(4)
NEW BALANCE,Tênis Masculino Casual New Balance 997h Classics,749,90,547,42,,
PUMA,Tênis Masculino Puma Flyer Runner Mesh Bdp Original,329,90,245,12,,
OLLIE,Kit 2 Tênis Street Ollie Masculino Monster Conforto,279,98,204,38,4.7,(208)
MIZUNO,Tênis Mizuno Masculino Wave Mirai 5 Esportivo Corrida,529,90,386,82,5.0,(3)
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,78,90,7,67,4.1,(5435)
PUMA,Tênis Ca Pro Mid Puma Tênis Ca Pro Mid,429,90,42,99,5.0,(2)
LORENZZO LOPEZ,Kit 3 Tênis Masculino Para Academia E Corrida ,199,90,139,93,,
NEW BALANCE,Tênis Casual Masculino New Balance 574 V2 Camurça,609,90,518,41,,
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,74,99,4.5,(9432)
OLYMPIKUS,Tênis Olympikus Corre Grafeno 2 Masculino,666,56,66,66,,
OLLIE,Kit 2 Tênis Street Ollie Masculino Vega Conforto,299,98,218,98,,
MIZUNO,Tênis Para Corrida Masculino Mizuno Wave Way 3 Treino ,459,90,326,52,,
FILA,Tênis Fila Ride Masculino / Feminino - Original ,329,99,227,43,,
PUMA,Tênis Rs-x Porsche Legacy Puma Tênis Rs-x Porsche Legacy,519,90,484,90,5.0,(1)
PUMA,Tênis Puma Masculino Viz Runner V2 Bdp Corrida Treino,589,90,501,41,,
WONDER,Tenis Adventure Wonder Camurça Confortável ,104,90,34,97,,
OLYMPIKUS,Tênis Esportivo Olympikus Voa Amarelo E Verde Masculino,299,90,33,32,5.0,(1)
FILA,Tênis Fila Masculino Venture Tracer Casual Chunky Retrô,429,90,378,31,,
OLYMPIKUS,Tênis Olympikus Masculino Voa 2 - Original,299,99,33,33,,
NEW BALANCE,Tênis New Balance Fresh Foam Garoé Preto,759,90,75,99,,
WONDER,Tenis Confortável Esportivo Caminhada Academia Wonder 1300,78,90,26,30,5.0,(1)
PUMA,Tênis Puma Masculino Cell Divide V2 Bdp Para Corrida,589,90,442,42,,
FILA,Tênis Fila Masculino Esportivo Extra Treino Confortável,319,90,275,11,,
OLLIE,Tênis Masculino Monster Ollie 418 ,149,33,141,86,,
OLYMPIKUS,Tênis Olympikus Casual Urbano Ast Unissex,269,90,205,12,,
NEW BALANCE,Tênis Masculino New Balance Arish Basico Fitness Treino +nfe,499,99,48,47,5.0,(3)
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos,218,74,139,99,4.8,(7707)
NEW BALANCE,Tênis New Balance Casual Masculino Gm500 Preto,399,90,39,99,,
OLYMPIKUS,Tênis Olimpikus Olympikus Flash Confortavel Envio Imediato ,95,99,9,33,4.3,(170)
NEW BALANCE,New Balance Evoz V3 Masculino Adultos,699,90,471,20,,
PUMA,Tênis Mirage Sport Tech Reflective Puma Tênis Mirage Sport T,549,90,475,20,5.0,(1)
MIZUNO,Tênis Mizuno Goya Masculino,349,90,290,41,,
FILA,Tênis Fila Masculino Leve Confortável Macio Alta Qualidade,599,99,449,99,,
FILA,Tênis Running Masculino Recovery Fila Original Prata,379,99,334,39,5.0,(4)
NEW BALANCE,Tênis New Balance Fresh Foam Arishi V4 Masculino,499,90,389,50,,
FILA,Tênis Fila Ride Unissex Original ,329,99,234,29,,
OLYMPIKUS,Olympikus Treino Proof 3 Masculino Adultos,199,99,158,99,4.8,(1411)
UNDER ARMOUR,Tênis Sport Under Armour Charged Skyline 4 Original Treino,412,49,329,99,5.0,(3)
NEW BALANCE,Tênis New Balance Fresh Foam Garoe Masculino Mtgarorr,749,44,74,94,5.0,(4)
MIZUNO,Tênis Mizuno Wave Mirai 6 - Masculino Original,531,14,499,39,,
PUMA,Tênis De Corrida Magnify Nitro 2 Masculino Puma Tênis De Cor,999,90,99,99,,
OLLIE,Tênis Masculino Vega Ollie 600 ,160,73,152,69,,
OLYMPIKUS,Tênis Olympikus Marte Corrida Caminhada Confortável Unissex,209,90,180,51,5.0,(2)
FILA,Tênis Fila Fire Branco Coral E Preto,349,90,33,92,,
